Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone,Lat,Long
12953,AUG KR RAJ EXP,MATHURA JN,MTJ,4,WR,27.480145,77.673117
12953,AUG KR RAJ EXP,H NIZAMUDDIN,NZM,3,WR,28.58733,77.254249
12954,AG KRANTI RJDHN,H NIZAMUDDIN,NZM,0,WR,28.58733,77.254249
12954,AG KRANTI RJDHN,MATHURA JN,MTJ,4,WR,27.480145,77.673117
12954,AG KRANTI RJDHN,SAWAI MADHOPUR,SWM,6,WR,26.018279,76.35622
12954,AG KRANTI RJDHN,KOTA JN,KOTA,3,WR,25.223553,75.8805
12954,AG KRANTI RJDHN,RATLAM JN,RTM,5,WR,23.34038,75.050826
12954,AG KRANTI RJDHN,VADODARA JN,BRC,1,WR,22.310756,73.181065
12954,AG KRANTI RJDHN,BHARUCH JN,BH,2,WR,21.706907,72.997689
12954,AG KRANTI RJDHN,SURAT,ST,2,WR,21.206568,72.840793
12954,AG KRANTI RJDHN,VALSAD,BL,2,WR,20.6085595,72.9335291
12954,AG KRANTI RJDHN,VAPI,VAPI,9,WR,20.374338,72.909127
12954,AG KRANTI RJDHN,BORIVALI,BVI,14,WR,19.228739,72.856412
12954,AG KRANTI RJDHN,MUMBAI CENTRAL,MMCT,1,WR,,
12957,SWARNA J RAJ EX,SABARMATI JN,SBIB,1,WR,,
12957,SWARNA J RAJ EX,MAHESANA JN,MSH,8,WR,23.602623,72.388708
12957,SWARNA J RAJ EX,PALANPUR JN,PNU,0,WR,24.174433,72.430172
12957,SWARNA J RAJ EX,ABU ROAD,ABR,3,WR,24.470775,72.775695
12957,SWARNA J RAJ EX,FALNA,FA,0,WR,25.235808,73.234953
12957,SWARNA J RAJ EX,AJMER JN,AII,1,WR,26.456612,74.637464
12957,SWARNA J RAJ EX,JAIPUR,JP,4,WR,26.920203,75.786923
12957,SWARNA J RAJ EX,GURGAON,GGN,5,WR,28.489165,77.010739
12957,SWARNA J RAJ EX,DELHI CANTT,DEC,12,WR,28.613534,77.116577
12957,SWARNA J RAJ EX,NEW DELHI,NDLS,3,WR,28.642314,77.220004
12958,ADI SJ RAJDHANI,NEW DELHI,NDLS,1,WR,28.642314,77.220004
12958,ADI SJ RAJDHANI,DELHI CANTT,DEC,4,WR,28.613534,77.116577
12958,ADI SJ RAJDHANI,GURGAON,GGN,6,WR,28.489165,77.010739
12958,ADI SJ RAJDHANI,JAIPUR,JP,20,WR,26.920203,75.786923
12958,ADI SJ RAJDHANI,AJMER JN,AII,13,WR,26.456612,74.637464
12958,ADI SJ RAJDHANI,FALNA,FA,10,WR,25.235808,73.234953
12958,ADI SJ RAJDHANI,ABU ROAD,ABR,9,WR,24.470775,72.775695
12958,ADI SJ RAJDHANI,PALANPUR JN,PNU,3,WR,24.174433,72.430172
12958,ADI SJ RAJDHANI,MAHESANA JN,MSH,3,WR,23.602623,72.388708
