longitude,latitude,Station_Code,Total_Score,Station_Name_lower
74.887582,12.724197,MJS,770.61,manjeshwar
80.228164,13.038154,MBM,715.81,mambalam
75.13575,12.255885,NLE,770.61,nileshwar
80.100518,13.118247,AVD,638.04,avadi
79.103252,13.219857,CTO,719.0,chittoor
77.542504,8.088028,CAPE,748.84,kanyakumari
76.954304,11.019937,CBF,766.37,coimbatore nrth
72.610413,23.000142,MAN,686.62,maninagar
77.307338,8.963993,TSI,714.7,tenkasi jn
78.155359,8.806109,TN,653.53,tuticorin
76.943513,17.121663,SDB,605.72,shahabad
81.526314,16.809961,TDD,775.85,tadepalligudem
80.564992,16.438256,MAG,622.31,mangalagiri
79.3768995,17.8506252,GNP,746.47,ghanpur
82.419677,17.269633,ANV,681.33,annavaram
81.675504,16.898297,NDD,647.15,nidadavolu jn
79.112528,20.084262,BUX,727.01,bhandak
75.4900954675,14.6997230018,BYD,812.4,byadgi
79.6830412451,13.7463618318,KHT,703.36,sri kalahasti
82.240057,16.955204,COA,724.59,kakinada port
82.2329218,16.9670099,CCT,770.97,kakinada town
80.616024,17.550365,BDCR,708.54,bhadrachalam rd
79.6387859326,16.7045104904,VNUP,672.71,vishnupuram
79.135713114,17.221960824,CTYL,769.14,chityala
80.987594,16.429888,GDV,573.13,gudivada jn
71.636053,22.734565,SRGT,724.99,surendranagar gate
72.141059,21.781668,BVC,546.04,bhavnagar trmus
81.516853,16.547348,BVRT,804.79,bhimavaram town
74.8068256635,16.483374512,RBG,833.82,raybag
76.117359,13.003182,HAS,761.49,hassan
